Title,Price_pesos,Barangay,Municipality,Seller,Number_Bedrooms,Floor_sqm,Land_sqm,Latitude,Longitude
6 BR Binan Laguna House and lot for sale in Pacita 1 Phase 3,6570000,San Francisco,Biñan,Will Uy,6,332,150,121.0555577,14.3336384
P3128892 Resort for Sale in Laguna,75000000,,Pangil,Pinnacle Real Estate,10,899,4771,121.4627911,14.4047536
House for Sale | Palma Real 120 SQM for P12Mn,12000000,Biñan,Biñan,Karmela Agsaluna,4,120,180,121.0539924,14.2703263
2 BR Townhouse Unit for Sale at Privado Homes in Binan Laguna | Rimas,7462032,San Francisco,Biñan,Broker Joe,2,73,61,121.0555577,14.3336384
2BR Townhouse St. Joseph Richfield 2 near SM Sta Rosa,2303203,Tagapo,Santa Rosa,Broker Joe,2,50,42,121.0964134,14.3127655
2 Bedroom House and Lot For Sale Near,4606800,Calendola,San Pedro,Broker Joe,2,61,70,121.0352846,14.3410633
"AFFORDABLE DUPLEX HOUSE ALONG THE HIGHWAY IN SAN PABLO CITY, LAGUNA",,San Antonio 2,San Pablo,Nervi Dimzon,2,42,70,121.330882,13.996195
Rush for sale House and lot with pool and overlooking of Laguna lake,17000000,Bucal,Calamba,Raymond Aldabe Mamino,6,300,263,121.169321,14.187465
4 Bedroom Luxurious House and Lot in Nuvali By Chan TOEI (FIL JAPANESE),28520000,Don Jose,Santa Rosa,Adrian Lim,4,284,144,121.0735873,14.2615584
House and lot for Sale in Victiaville in Sta. Cruz Antipolo,3800000,Antipolo,Rizal,Ricky Bilolo,2,58,56,121.380557,14.114565
Pre-selling 3 Bedroom House & Lot at Southdale Settings. Nuvali. Laguna,,Canlubang,Calamba,Jackie Gregorio,3,130,67,121.0533622,14.1857173
"Fully Furnished House and Lot for Sale in Mondia at Nuvali, Laguna",26000000,Hornalan,Calamba,Prime Real Estate Investment,3,172,349,121.0822104,14.1753161
house and lot for sale,7500000,Antipolo,Rizal,Ricky Bilolo,3,164,84,121.380557,14.114565
3 Bedroom Townhouse Unit for Sale at Vista Rosa at San Francisco,7797810,San Francisco,Biñan,Property Pro Philippines,3,115,50,121.0555577,14.3336384
2 Bedroom Single Attached Unit for Sale in Harmony Homes Harana Phase 3,7856240,San Vicente,San Pedro,Property Pro Philippines,2,50,80,121.0535937,14.3494688
Brand New Treveia Nuvali House For Sale,27000000,Canlubang,Calamba,Mitor Alipio,4,250,254,121.0533622,14.1857173
Re Sale House and lot inside the Uplb Campus,14500000,Batong Malake,Los Baños,Raymond Aldabe Mamino,4,170,247,121.231499,14.151302
HOUSE AND LOT FOR SALE IN METROGATE STA ROSA,5600000,Tagapo,Santa Rosa,Karen Vargas,3,138,138,121.0964134,14.3127655
House & Lot in Nuvali Santa Rosa Laguna,16200000,Don Jose,Santa Rosa,Rico Bryan B. Ongcoy,3,109,125,121.0735873,14.2615584
House & Lot for sale in Santa Rosa Laguna,39000000,Don Jose,Santa Rosa,Rico Bryan B. Ongcoy,,,,121.0735873,14.2615584
Tranquil 3-Bedroom Townhouse at San Francisco Heights,5220320,Palo-Alto,Calamba,Mark Gerald Aglipay,3,73,110,121.113605,14.191945
Family Home in Nuvali 182 sqm For Sale near Golf Miriam College Xavier Tagaytay,14648000,Hornalan,Calamba,Kathie Tardio,3,98,182,121.0822104,14.1753161
2 Bedroom Single Attached Unit for Sale at The Granary in Laguna,2950000,San Antonio,Biñan,Property Pro Philippines,2,43,43,121.0895615,14.3355937
"2 Bedroom House and Lot for Sale at Sevina Park Villas in Biñan, Laguna",18199000,Biñan,Biñan,Property Pro Philippines,2,114,138,121.0539924,14.2703263
"3 Bedroom House and Lot for Sale at Sevina Park Villas in Biñan, Laguna",24922306,Biñan,Biñan,Property Pro Philippines,3,162,117,121.0539924,14.2703263
2 Bedroom House and Lot Unit for Sale at Althea Residences (Ayanna),6600000,Santo Tomas,Biñan,Property Pro Philippines,3,77,110,121.0715461,14.3114915
2 Bedroom Bungalow House Unit for Sale at Althea Residences (Aralia),4950000,Santo Tomas,Biñan,Property Pro Philippines,2,44,110,121.0715461,14.3114915
"Amaia Townhouse Nuvali Laguna Inner Unit near Miriam, Solenad and Tagaytay",5700000,Canlubang,Calamba,Beatriz Awatin,3,,,121.0533622,14.1857173
LAS VILLAS DE MANILA HOUSE LAGUNA,32000000,San Francisco,Biñan,Patrice Trijo,6,328,427,121.0555577,14.3336384
"HOUSE AND LOT - STA. ROSA CITY, LAGUNA AVIDA SOUTHDALE SETTINGS NUVALI",,Canlubang,Calamba,Kevin Geronimo,3,67,130,121.0533622,14.1857173
"HOUSE AND LOT - STA. ROSA CITY, LAGUNA AVIDA SOUTHDALE SETTINGS NUVALI",,Canlubang,Calamba,Kevin Geronimo,3,67,140,121.0533622,14.1857173
House and Lot for sale in Treveia Nuvali,27000000,Canlubang,Calamba,Joel Baoya,4,250,254,121.0533622,14.1857173
"FOR SALE - House & Lot at Venare, Nuvali Laguna",32000000,Canlubang,Calamba,Fernando Garcia,5,336,267,121.0533622,14.1857173
Overlooking View Of The City House And Lot For Sale In Ahanna Antipolo,6503750,Antipolo,Rizal,Layca Brazil,3,104,56,121.380557,14.114565
Newest Project in Calamba Twin Homes with 3 Bedrooms,2850000,Majada Labas,Calamba,Airene Grace Diolata,3,50,70,121.104962,14.196755
"Elegant House For Sale in NUVALI, Averdeen Estates - near Tagaytay",14900000,Hornalan,Calamba,Jen Bautista,3,95,183,121.0822104,14.1753161
SOUTHDALE SETTINGS NUVALI HOUSE AND LOT MACY S2,10958000,Canlubang,Calamba,Stephanie Anillo,3,67,161,121.0533622,14.1857173
AVERDEEN ESTATES NUVALI HOUSE AND LOT ERIN,14217000,Hornalan,Calamba,Stephanie Anillo,3,98,182,121.0822104,14.1753161
SOUTHDALE SETTINGS NUVALI MACY S2 HOUSE AND LOT,9718000,Canlubang,Calamba,Stephanie Anillo,3,67,130,121.0533622,14.1857173
BNEW Multi-Level Modern Designed House for Sale in Verdana Mamplasan,28000000,Langkiwa,Biñan,Randy Pentecostes,4,250,200,121.0617653,14.2968418
"For Sale: Brand New 4BR House & Lot in Venare, Nuvali, Laguna",33000000,Canlubang,Calamba,PRESELLO - Isay Vega,4,280,267,121.0533622,14.1857173
House & Lot NUVALI for Sale 182 sqm Lot Area less than 1 hour away from Manila,14200000,Hornalan,Calamba,Kathie Tardio,3,98,182,121.0822104,14.1753161
Corner House and Lot For Sale in South Spring Res Estate Biñan Laguna,8500000,Canlalay,Biñan,Imelda Valiente,3,120,165,121.0713046,14.3435045
"Amaia Townhouse Nuvali Laguna Inner Unit near Miriam, Solenad and Tagaytay",5700000,Canlubang,Calamba,Beatriz Awatin,3,60,65,121.0533622,14.1857173
Lipat Agad This Year Single Attached San Pablo City Laguna,3500000,San Vicente,San Pablo,Marjorie Baluyot,3,57,80,121.340728,14.0256013
5 BEDROOMS DUPLEX HOUSE IN ANTIPOLO,12800000,Antipolo,Rizal,Rodelio Moreno,5,230,157,121.380557,14.114565
Your Gateway to Nuvali Living: Modern House and Lot in a Sustainable Community,10958000,Canlubang,Calamba,Paulo Bibay,3,67,161,121.0533622,14.1857173
Rush Sale H&L For Sale Near to Xavier School & Mirriam College Nuvali Southdale,9646000,Canlubang,Calamba,Edwin Sayam,3,67,128,121.0533622,14.1857173
Premium House and Lot For Sale in Sta Rosa Laguna Nuvali 3BR 2 T&B Southdale,11254000,Canlubang,Calamba,Edwin Sayam,3,67,148,121.0533622,14.1857173
Brand New House and Lot For Sale in Verdana Homes Mamplasan,28000000,Langkiwa,Biñan,Ralph Granda,3,250,200,121.0617653,14.2968418
House & Lot For Sale in Binan Laguna (Tiesa)-MC,10186183,San Francisco,Biñan,Ms. Michelle,3,106,108,121.0555577,14.3336384
3 Bedrooms in San Pedro Laguna,4000000,Maharlika,San Pedro,Maryam Luqman,3,88,150,121.0457,14.34545
"House and Lot for sale in San Lorenzo South, City of Sta Rosa",2700000,Malitlit,Santa Rosa,Corazon M. Bertiz,2,90,,121.099378,14.2656453
Fully Finished 5 Bedroom Unit For Sale in Stonecrest Subdivision,27000000,Estrella,San Pedro,Brian Edward Sepe,5,375,400,121.0434637,14.3368386
"For Sale: House and Lot in Ridgeview Estates Nuvali, Calamba, Laguna",13000000,Canlubang,Calamba,Denise Manalo,3,111,171,121.0533622,14.1857173
"3 Bedroom Two-storey House & Lot For Sale|Brgy. Majada Out Calamba, Laguna",3343240,Majada Labas,Calamba,Stephen Antiporda,3,60,90,121.104962,14.196755
